,playerID,yearID,POS,G,InnOuts,PO,A,E,DP,birthYear,age,Range Factor,Fielding %,RF Yearly Avg
51056,huntebi03,1953,SS,152,,284,512,25.0,99,1928.0,25.0,5.2368421052631575,96.95493300852618,4.174706778338868
27663,holloch01,1918,SS,131,,278,418,53.0,39,1896.0,22.0,5.312977099236641,92.92389853137517,4.7480550730483975
76616,trammal01,1978,SS,139,3607.0,239,421,14.0,95,1958.0,20.0,4.748201438848921,97.92284866468842,4.088859959830793
115065,wilsoja02,2004,SS,156,4067.0,234,492,17.0,129,1977.0,27.0,4.653846153846154,97.71197846567968,4.024608552337825
115329,cabreor01,2005,SS,140,3722.0,229,347,7.0,81,1974.0,31.0,4.114285714285714,98.79931389365352,4.082061815026156
27850,olsoniv01,1918,SS,126,,265,388,58.0,42,1885.0,33.0,5.182539682539683,91.84247538677918,4.7480550730483975
28044,weavebu01,1918,SS,98,,191,319,32.0,50,1890.0,28.0,5.204081632653061,94.0959409594096,4.7480550730483975
115101,youngmi02,2004,SS,158,4160.0,225,423,19.0,98,1976.0,28.0,4.10126582278481,97.15142428785607,4.024608552337825
83521,jimenho01,1984,SS,107,2529.0,145,273,18.0,59,1957.0,27.0,3.9065420560747666,95.87155963302753,4.065527914104143
115118,adamsru01,2005,SS,132,3300.0,194,326,26.0,68,1980.0,25.0,3.9393939393939394,95.23809523809523,4.082061815026156
46147,kerrbu01,1946,SS,126,,240,400,12.0,66,1922.0,24.0,5.079365079365079,98.15950920245399,4.423496538099533
33289,theveto01,1926,SS,156,,371,597,45.0,98,1903.0,23.0,6.205128205128205,95.55774925962488,4.458702649258586
76869,burleri01,1979,SS,153,3939.0,272,523,16.0,109,1951.0,28.0,5.196078431372549,98.02712700369914,4.113890132095312
83630,lemasjo01,1984,SS,129,3166.0,222,391,23.0,70,1954.0,30.0,4.751937984496124,96.38364779874213,4.065527914104143
50839,bollimi01,1953,SS,109,,174,321,23.0,71,1930.0,23.0,4.541284403669724,95.55984555984556,4.174706778338868
105563,jeterde01,1999,SS,158,4187.0,230,391,14.0,87,1974.0,25.0,3.930379746835443,97.79527559055119,4.037387926227994
